species,latitude,longitude,coordinate_uncertainty_m,basis_of_record,event_date
Macropus giganteus,-18.22138,144.56084,100.0,OCCURRENCE,
Macropus giganteus,-16.54082,145.12901,100.0,OCCURRENCE,2013-05-27
Macropus giganteus,-20.924666,149.049371,,HUMAN_OBSERVATION,2025-06-17
Macropus giganteus,-17.61458,143.81529,100.0,OCCURRENCE,
Macropus giganteus,-20.72099,146.65582,50.0,OCCURRENCE,2011-06-08
Macropus giganteus,-19.152248,145.91823,1042.0,HUMAN_OBSERVATION,2023-12-27
Macropus giganteus,-21.60364,146.89819,100.0,OCCURRENCE,
Macropus giganteus,-35.79271,137.79068,100.0,HUMAN_OBSERVATION,2022-09-26
Macropus giganteus,-21.4859,148.46093,200.0,OCCURRENCE,2006-02-14
Macropus giganteus,-12.92012,143.02285,1000.0,OCCURRENCE,1972-08-29
Macropus giganteus,-15.90298,144.85423,100.0,OCCURRENCE,2002-11-23
Macropus giganteus,-18.201714,144.571833,,HUMAN_OBSERVATION,2012-11-18
Macropus giganteus,-18.201607,144.571775,31.0,HUMAN_OBSERVATION,2025-07-04
Macropus giganteus,-14.1061,143.54529,100.0,OCCURRENCE,2017-05-09
Macropus giganteus,-19.318175,146.789245,22.0,HUMAN_OBSERVATION,2023-12-06
Macropus giganteus,-21.676053,149.44234,15.0,HUMAN_OBSERVATION,2026-08-05
Macropus giganteus,-19.58999,144.03445,1800.0,OCCURRENCE,1984-03-16
Macropus giganteus,-17.56729,145.30284,100.0,OCCURRENCE,2007-11-27
